SAFETY_SCORE,YEAR,TOTAL_MILES_DONE,BATTERY_HEALTH,TYRE_PRESSURE,FUEL_LEVEL,OIL_LEVEL
98,2020,49331,GOOD,32,83,98
98,2005,70945,GOOD,33,0,98
88,2005,99783,AVERAGE,32,84,98
50,2020,72546,AVERAGE,31,37,86
79,2012,99783,GOOD,32,98,60
54,2008,5220,AVERAGE,31,47,98
61,2017,5220,AVERAGE,33,8,98
91,2009,44919,AVERAGE,30,0,98
60,2020,93111,AVERAGE,31,80,16
50,2005,42082,GOOD,32,10,98
98,2005,68694,AVERAGE,30,39,0
66,2006,99783,AVERAGE,32,53,98
79,2005,45657,AVERAGE,33,0,26
50,2013,36138,AVERAGE,33,72,56
98,2005,5220,AVERAGE,31,36,85
57,2012,20776,GOOD,30,98,1
65,2008,75472,AVERAGE,31,59,76
98,2013,87934,AVERAGE,30,33,62
50,2007,5220,AVERAGE,34,68,73
98,2020,5220,GOOD,31,0,98
58,2012,5220,GOOD,32,92,61
70,2020,99783,GOOD,32,8,17
72,2017,61502,AVERAGE,30,87,0
58,2013,75563,GOOD,30,24,4
68,2005,65872,AVERAGE,30,0,98
95,2005,99783,AVERAGE,33,57,98
56,2010,24194,GOOD,30,34,47
50,2005,48372,AVERAGE,31,98,82
50,2010,22906,AVERAGE,30,28,98
98,2007,5220,AVERAGE,30,80,44
93,2005,27846,AVERAGE,31,0,98
83,2006,5220,GOOD,34,82,84
58,2012,99783,GOOD,31,15,98
64,2011,33492,GOOD,34,47,47
98,2013,25865,AVERAGE,32,32,30
90,2005,70637,AVERAGE,33,0,98
55,2009,69966,GOOD,33,62,98
55,2005,32628,AVERAGE,32,89,0
70,2005,5220,AVERAGE,34,30,33
50,2009,5220,GOOD,34,0,58
71,2005,29855,AVERAGE,31,20,98
50,2020,73883,AVERAGE,32,45,72
89,2005,91797,GOOD,31,32,47
53,2005,93901,AVERAGE,30,98,48
74,2019,5220,AVERAGE,32,98,54
56,2012,5220,AVERAGE,33,45,89
50,2012,30308,GOOD,32,46,0
72,2006,5220,AVERAGE,32,0,46
87,2006,31837,AVERAGE,30,0,51
98,2005,48006,AVERAGE,32,10,68
73,2005,86008,GOOD,30,73,98
50,2018,22120,AVERAGE,34,10,76
50,2020,40993,AVERAGE,32,13,87
50,2010,99783,AVERAGE,30,0,98
87,2005,52786,GOOD,32,71,29
72,2006,57442,GOOD,30,0,98
89,2011,99783,GOOD,30,0,42
50,2005,28986,GOOD,31,98,0
55,2014,44085,GOOD,32,43,94
62,2014,53002,AVERAGE,33,0,98
88,2007,6468,GOOD,31,98,98
69,2020,81731,AVERAGE,31,98,77
68,2020,5220,AVERAGE,31,12,86
98,2013,28879,AVERAGE,30,15,86
98,2005,99783,AVERAGE,33,0,48
79,2005,34074,GOOD,30,0,53
69,2005,5220,AVERAGE,31,63,18
64,2005,6869,GOOD,32,0,14
54,2017,5220,AVERAGE,34,52,90
68,2014,41425,AVERAGE,30,7,78
50,2012,5220,AVERAGE,31,20,98
50,2008,35811,AVERAGE,33,63,50
56,2014,99783,AVERAGE,33,16,86
81,2011,17537,AVERAGE,30,0,92
85,2007,93823,GOOD,31,0,98
98,2012,44091,AVERAGE,32,50,85
57,2007,5220,AVERAGE,31,0,0
50,2008,5220,AVERAGE,30,0,62
50,2006,5220,AVERAGE,34,86,22
65,2017,99783,AVERAGE,30,98,18
98,2005,21766,AVERAGE,32,62,98
83,2012,5220,AVERAGE,33,0,98
83,2015,68270,GOOD,32,11,98
58,2005,5220,GOOD,33,65,98
50,2005,7198,AVERAGE,33,42,98
55,2006,36125,AVERAGE,30,67,30
50,2005,69792,GOOD,34,49,98
82,2009,5220,GOOD,31,90,0
75,2011,62983,GOOD,33,98,98
77,2012,99783,AVERAGE,31,45,91
55,2006,39144,GOOD,31,98,98
61,2020,92380,AVERAGE,32,98,37
98,2012,5220,GOOD,34,65,34
50,2020,32360,AVERAGE,30,98,0
50,2008,95828,AVERAGE,30,98,69
98,2014,5220,GOOD,31,2,83
90,2015,21005,AVERAGE,31,49,0
59,2010,93457,AVERAGE,30,0,80
98,2020,27666,AVERAGE,30,17,81
50,2005,15148,AVERAGE,30,11,98
65,2009,35534,AVERAGE,31,98,68
58,2005,42817,AVERAGE,33,0,98
91,2005,5220,GOOD,31,0,98
92,2006,89195,AVERAGE,31,48,98
63,2010,5220,AVERAGE,30,2,98
61,2007,5220,AVERAGE,30,33,71
98,2005,41707,AVERAGE,34,0,98
98,2008,53572,AVERAGE,34,19,98
50,2011,39360,AVERAGE,34,38,98
89,2006,72906,GOOD,31,44,98
50,2007,5220,AVERAGE,32,58,70
93,2005,11983,GOOD,33,3,98
81,2007,13645,GOOD,30,1,64
98,2009,43739,AVERAGE,33,18,98
63,2012,33374,AVERAGE,33,36,64
64,2009,5220,GOOD,33,53,54
57,2012,71404,GOOD,31,30,98
68,2013,5220,AVERAGE,31,25,98
69,2005,13060,AVERAGE,34,2,98
87,2007,5220,AVERAGE,34,0,98
50,2015,74799,GOOD,30,0,98
72,2005,38757,GOOD,34,0,98
88,2018,5220,AVERAGE,31,0,98
78,2017,45129,AVERAGE,30,57,98
86,2017,5220,AVERAGE,34,98,0
86,2005,5220,GOOD,30,18,54
96,2016,5220,AVERAGE,32,15,6
98,2011,19116,AVERAGE,32,0,77
96,2009,26759,AVERAGE,33,83,47
96,2011,5220,GOOD,30,62,75
57,2006,5220,AVERAGE,32,12,41
50,2016,5220,AVERAGE,32,69,47
75,2006,5220,AVERAGE,34,0,98
73,2010,99783,GOOD,30,40,98
50,2005,42445,AVERAGE,32,2,55
69,2005,59250,AVERAGE,31,85,98
83,2005,70796,AVERAGE,31,38,73
74,2018,99783,AVERAGE,33,58,0
85,2020,29612,AVERAGE,33,0,98
53,2005,19723,AVERAGE,31,59,98
50,2005,30458,AVERAGE,31,40,32
81,2012,32371,GOOD,31,52,98
78,2005,5220,GOOD,30,19,24
87,2017,17891,GOOD,32,31,98
63,2012,5220,AVERAGE,31,0,30
61,2020,64653,GOOD,30,38,60
50,2011,96444,GOOD,34,0,70
98,2019,99783,GOOD,34,23,76
59,2005,81843,AVERAGE,31,98,98
50,2011,5220,GOOD,31,26,79
80,2007,33608,GOOD,33,60,52
98,2017,5220,AVERAGE,34,0,98
98,2010,81102,AVERAGE,30,0,19
71,2013,73685,AVERAGE,34,9,98
62,2016,24286,GOOD,33,98,14
65,2019,94624,AVERAGE,30,91,3
98,2011,67071,AVERAGE,32,52,98
65,2005,71243,GOOD,31,49,83
81,2005,5220,GOOD,32,0,98
71,2015,52161,AVERAGE,34,6,35
98,2009,5220,GOOD,33,29,35
50,2005,33013,GOOD,33,48,30
61,2010,68842,GOOD,30,84,44
87,2005,5220,AVERAGE,30,27,98
86,2005,90189,AVERAGE,32,15,98
93,2010,5220,AVERAGE,33,0,42
80,2005,96232,GOOD,30,11,98
81,2005,46937,GOOD,34,62,98
50,2013,5220,AVERAGE,32,66,25
50,2012,99783,GOOD,31,98,28
52,2013,89587,AVERAGE,31,36,98
98,2005,25526,GOOD,30,34,76
98,2007,5220,GOOD,32,23,26
94,2017,26980,AVERAGE,33,40,98
85,2012,5220,AVERAGE,30,4,43
58,2013,6388,GOOD,30,29,0
98,2020,53955,AVERAGE,30,75,49
98,2005,53438,AVERAGE,30,24,0
98,2005,5220,GOOD,30,0,98
67,2005,86753,AVERAGE,30,7,98
76,2018,43769,AVERAGE,31,79,40
98,2005,5220,AVERAGE,31,0,98
51,2012,61656,AVERAGE,32,98,39
70,2014,27479,GOOD,31,16,98
63,2012,96452,GOOD,33,43,98
50,2011,5220,AVERAGE,33,6,73
50,2005,34594,AVERAGE,31,9,68
98,2016,62773,GOOD,30,32,98
74,2005,36863,AVERAGE,34,0,86
93,2006,31207,AVERAGE,34,42,45
50,2005,21929,AVERAGE,31,0,72
71,2012,44387,AVERAGE,30,46,98
50,2017,5220,GOOD,34,98,81
56,2020,76335,GOOD,34,55,59
98,2017,5220,AVERAGE,31,32,28
67,2008,5220,AVERAGE,32,98,0
91,2008,74519,AVERAGE,33,16,19
69,2011,99783,GOOD,33,21,57
61,2009,54070,AVERAGE,33,98,98
88,2020,84830,AVERAGE,33,43,58
64,2020,5220,AVERAGE,30,0,48
50,2005,51797,AVERAGE,32,4,98
80,2013,99783,AVERAGE,33,98,52
96,2020,99783,AVERAGE,32,18,81
58,2011,52410,GOOD,30,0,0
65,2005,34229,AVERAGE,34,4,98
88,2005,15084,GOOD,30,33,92
82,2012,26111,AVERAGE,33,63,80
84,2005,5220,AVERAGE,33,0,59
98,2005,38019,AVERAGE,33,32,70
76,2019,5220,AVERAGE,31,39,30
53,2020,99783,GOOD,34,75,98
50,2014,26742,GOOD,33,85,98
98,2009,37336,AVERAGE,30,0,98
94,2010,69048,AVERAGE,32,98,98
50,2006,19999,AVERAGE,31,39,98
81,2015,46482,GOOD,32,0,0
80,2010,28730,GOOD,30,0,97
98,2007,51894,AVERAGE,30,87,86
91,2013,31936,AVERAGE,33,59,39
61,2005,49048,AVERAGE,34,0,98
75,2005,15522,AVERAGE,34,0,55
61,2011,81684,AVERAGE,33,64,29
66,2009,78882,GOOD,32,98,86
98,2009,37959,AVERAGE,32,7,98
50,2011,53171,GOOD,33,0,98
92,2005,90503,AVERAGE,34,70,53
50,2005,5220,AVERAGE,31,0,98
98,2005,5220,GOOD,33,0,98
57,2008,39570,AVERAGE,32,24,98
98,2010,5220,AVERAGE,32,0,98
98,2008,26033,AVERAGE,33,54,52
72,2011,5220,AVERAGE,31,2,98
50,2005,5220,AVERAGE,31,0,44
67,2005,5220,AVERAGE,31,0,98
88,2007,76489,AVERAGE,30,98,5
79,2009,29798,GOOD,30,3,98
50,2014,5220,GOOD,33,98,67
62,2006,99783,AVERAGE,30,61,98
72,2020,36708,AVERAGE,33,25,98
91,2005,31586,AVERAGE,32,7,47
50,2009,20534,AVERAGE,33,98,98
98,2005,99783,AVERAGE,30,0,42
50,2012,53272,AVERAGE,32,98,55
50,2005,5220,AVERAGE,34,20,98
84,2011,33242,GOOD,32,55,98
50,2008,34325,GOOD,31,0,98
59,2013,5220,GOOD,30,98,98
88,2007,42768,AVERAGE,33,1,63
70,2005,99783,GOOD,33,19,98
52,2014,26985,AVERAGE,32,97,47
65,2011,5220,GOOD,30,0,98
98,2010,62062,AVERAGE,31,61,98
58,2009,25902,AVERAGE,32,0,35
98,2010,46442,AVERAGE,34,51,39
60,2020,53443,AVERAGE,32,97,94
55,2009,24300,GOOD,30,49,44
77,2016,5220,AVERAGE,33,44,97
71,2013,5220,AVERAGE,34,98,0
73,2008,5220,GOOD,34,0,81
60,2015,5220,GOOD,30,15,98
77,2009,5220,GOOD,31,98,51
98,2005,6616,AVERAGE,30,0,98
62,2006,12370,AVERAGE,30,11,45
56,2020,22607,GOOD,30,30,98
67,2013,25889,AVERAGE,30,18,98
57,2005,5220,AVERAGE,31,73,77
62,2005,5220,AVERAGE,33,0,71
50,2006,58321,GOOD,31,77,62
73,2005,23474,AVERAGE,32,0,77
86,2005,99783,GOOD,30,98,98
61,2016,99783,AVERAGE,30,45,83
83,2008,5220,GOOD,31,13,60
54,2013,32465,GOOD,33,98,0
53,2020,92172,AVERAGE,31,0,81
87,2005,35252,AVERAGE,33,73,80
50,2005,5220,AVERAGE,31,59,98
50,2016,72264,GOOD,31,36,62
84,2011,5220,AVERAGE,31,9,98
57,2020,41287,AVERAGE,32,41,43
98,2006,99783,AVERAGE,30,0,49
98,2011,5220,AVERAGE,30,7,98
73,2006,5220,AVERAGE,33,0,98
65,2014,5220,AVERAGE,30,15,0
75,2011,31629,GOOD,30,6,82
67,2005,38572,AVERAGE,33,94,86
64,2005,38706,AVERAGE,31,98,98
62,2005,69026,GOOD,30,62,98
74,2014,5220,AVERAGE,34,0,80
64,2005,5220,AVERAGE,32,26,98
70,2007,30914,AVERAGE,32,71,22
60,2011,44585,AVERAGE,31,0,98
90,2005,20281,AVERAGE,34,0,98
50,2012,29710,AVERAGE,34,38,83
50,2020,52546,AVERAGE,30,0,40
61,2007,99783,AVERAGE,31,98,0
50,2005,31075,AVERAGE,34,96,98
98,2012,42952,AVERAGE,30,4,98
54,2013,57036,AVERAGE,30,61,44
77,2005,51865,AVERAGE,31,40,98
50,2020,13290,AVERAGE,32,16,87
59,2020,14317,AVERAGE,30,89,0
63,2005,75169,AVERAGE,30,98,98
98,2005,70369,AVERAGE,31,0,25
73,2005,99783,AVERAGE,34,67,98
51,2005,72063,AVERAGE,33,98,0
50,2014,90021,AVERAGE,30,32,23
51,2014,5220,AVERAGE,31,68,0
50,2005,35447,AVERAGE,34,0,98
64,2013,99783,AVERAGE,32,59,98
92,2005,17359,AVERAGE,34,45,21
92,2006,43784,AVERAGE,31,0,62
71,2012,54015,AVERAGE,30,67,98
69,2006,86003,AVERAGE,34,63,36
86,2013,22285,AVERAGE,33,47,36
72,2011,14968,AVERAGE,34,64,83
63,2005,97147,AVERAGE,32,45,73
74,2006,9449,GOOD,32,68,98
89,2019,5220,GOOD,33,98,20
62,2020,53873,AVERAGE,33,98,98
98,2005,99783,AVERAGE,30,79,96
85,2005,95399,GOOD,31,5,98
89,2005,58309,AVERAGE,33,98,98
50,2016,49887,GOOD,30,88,54
67,2005,70140,AVERAGE,30,98,35
61,2018,23857,AVERAGE,34,69,0
75,2020,15367,AVERAGE,31,41,98
98,2011,5220,AVERAGE,30,33,62
58,2005,79610,AVERAGE,30,98,2
50,2012,99783,AVERAGE,30,38,98
72,2014,48917,AVERAGE,31,0,77
50,2012,99783,AVERAGE,31,98,16
76,2008,99783,GOOD,33,63,56
74,2020,35577,AVERAGE,31,50,22
50,2007,99783,AVERAGE,31,67,49
83,2013,5220,AVERAGE,31,4,66
81,2007,35916,GOOD,32,32,98
74,2009,54184,AVERAGE,31,3,78
52,2008,88666,AVERAGE,33,51,98
98,2005,21174,AVERAGE,31,59,98
72,2017,99783,GOOD,34,46,98
50,2009,82919,AVERAGE,30,98,55
86,2012,38009,AVERAGE,30,0,71
50,2010,5220,AVERAGE,33,5,25
58,2016,56060,GOOD,32,98,21
56,2006,59874,AVERAGE,34,65,72
81,2009,84989,AVERAGE,32,1,98
50,2020,20835,GOOD,30,40,0
91,2017,32380,AVERAGE,34,27,70
96,2011,20771,AVERAGE,32,52,98
79,2014,32513,GOOD,34,8,68
50,2009,5220,GOOD,31,16,90
63,2007,99783,GOOD,33,49,98
84,2011,82277,GOOD,32,36,98
69,2011,5220,GOOD,32,0,98
98,2005,28744,AVERAGE,31,13,58
78,2005,6350,AVERAGE,30,41,0
66,2020,53686,AVERAGE,31,0,98
66,2014,68563,GOOD,32,37,85
68,2008,5220,AVERAGE,30,8,46
98,2013,85903,AVERAGE,32,27,98
55,2020,5220,GOOD,34,74,0
69,2013,77064,AVERAGE,31,0,98
59,2011,12347,AVERAGE,31,78,78
51,2014,22026,GOOD,32,25,0
50,2006,31490,AVERAGE,33,0,85
50,2010,13177,AVERAGE,33,70,18
89,2020,46675,AVERAGE,30,0,64
52,2006,12917,AVERAGE,32,35,86
88,2008,42400,GOOD,32,0,98
55,2010,70333,AVERAGE,30,61,91
88,2013,27085,AVERAGE,30,35,27
73,2012,5220,AVERAGE,33,26,23
50,2005,32725,AVERAGE,32,33,61
82,2006,43798,AVERAGE,32,40,89
50,2009,5220,GOOD,32,41,64
50,2005,8937,AVERAGE,33,0,86
85,2006,99783,AVERAGE,30,48,48
63,2016,5220,AVERAGE,30,28,79
50,2006,18026,GOOD,30,0,47
50,2005,34170,AVERAGE,31,66,19
50,2005,99783,AVERAGE,30,33,29
71,2009,51129,AVERAGE,30,25,78
98,2005,95535,AVERAGE,31,98,57
67,2012,5220,GOOD,34,5,81
58,2005,5220,GOOD,31,20,13
50,2005,5220,AVERAGE,32,32,34
50,2019,21168,AVERAGE,33,64,0
58,2006,5220,AVERAGE,33,16,36
91,2009,99783,AVERAGE,30,98,98
88,2007,83779,GOOD,31,37,98
86,2005,28560,AVERAGE,34,0,98
98,2005,85374,GOOD,34,0,73
94,2005,5220,AVERAGE,30,39,0
90,2005,22621,GOOD,31,14,51
96,2005,5220,AVERAGE,33,0,52
50,2009,67184,GOOD,32,7,69
98,2006,5220,GOOD,32,5,0
77,2006,11276,GOOD,31,69,98
98,2017,70567,AVERAGE,32,27,85
61,2020,45949,GOOD,32,95,48
91,2005,26285,AVERAGE,31,19,85
54,2010,44843,GOOD,30,71,68
71,2018,55286,GOOD,32,2,98
50,2005,5220,GOOD,30,67,16
58,2009,33409,AVERAGE,34,55,1
92,2005,5220,AVERAGE,30,54,98
82,2011,5220,AVERAGE,30,10,85
64,2010,83141,AVERAGE,33,70,85
80,2013,23720,AVERAGE,31,0,98
68,2013,14483,GOOD,30,98,98
93,2009,5220,AVERAGE,30,34,73
59,2020,37893,AVERAGE,33,53,23
76,2005,76432,AVERAGE,34,61,98
92,2012,53865,AVERAGE,30,0,85
91,2009,40773,GOOD,31,0,67
58,2005,70924,AVERAGE,31,0,37
98,2020,25940,AVERAGE,34,98,98
70,2013,25332,AVERAGE,33,66,24
56,2012,20620,AVERAGE,30,0,78
50,2020,5220,GOOD,34,20,98
78,2006,14719,GOOD,31,4,98
98,2020,5220,AVERAGE,31,0,52
50,2005,47757,AVERAGE,31,0,56
68,2010,5220,AVERAGE,30,0,96
78,2020,49754,GOOD,31,98,78
50,2005,71409,AVERAGE,30,0,55
50,2020,59189,AVERAGE,30,98,98
50,2005,75470,GOOD,33,34,96
80,2019,35173,GOOD,34,65,25
65,2012,5220,GOOD,33,98,28
72,2012,5220,GOOD,31,67,0
50,2020,47409,AVERAGE,32,70,24
91,2016,64553,AVERAGE,30,28,98
50,2005,99783,GOOD,32,18,98
75,2007,24082,GOOD,30,64,81
73,2020,53703,AVERAGE,30,0,98
50,2008,5220,AVERAGE,32,35,84
70,2005,22080,AVERAGE,30,98,66
50,2007,10857,AVERAGE,32,0,70
78,2020,99783,AVERAGE,31,0,36
98,2005,21934,AVERAGE,30,0,98
69,2020,31299,GOOD,30,38,0
71,2011,74899,AVERAGE,30,0,98
98,2012,23942,AVERAGE,33,31,22
58,2005,99783,GOOD,31,14,98
50,2005,5220,AVERAGE,34,18,98
50,2010,41674,AVERAGE,32,98,98
87,2010,74261,GOOD,30,65,98
74,2005,91745,AVERAGE,30,2,98
50,2007,78172,GOOD,33,9,98
59,2008,30904,AVERAGE,33,65,98
89,2005,56286,AVERAGE,34,29,74
77,2007,75882,AVERAGE,30,0,98
88,2010,93620,GOOD,30,46,70
55,2005,5220,AVERAGE,34,31,0
73,2017,22307,AVERAGE,33,0,98
77,2007,85671,AVERAGE,30,40,98
54,2013,98886,GOOD,30,98,98
50,2006,77118,AVERAGE,30,63,98
98,2018,5220,AVERAGE,32,1,98
50,2005,60688,AVERAGE,34,45,0
93,2009,5220,AVERAGE,33,20,43
98,2014,35550,AVERAGE,30,98,85
70,2019,33311,AVERAGE,34,9,1
54,2020,38377,AVERAGE,31,57,35
65,2005,24613,AVERAGE,33,60,85
62,2005,19294,AVERAGE,30,53,45
75,2005,78014,AVERAGE,30,43,98
77,2005,30362,AVERAGE,32,0,78
50,2015,96235,AVERAGE,34,70,84
90,2009,57954,AVERAGE,34,16,98
50,2005,42532,AVERAGE,32,0,98
76,2013,99783,AVERAGE,33,65,0
98,2010,5220,GOOD,33,97,98
62,2020,75571,AVERAGE,33,43,56
57,2005,99783,AVERAGE,31,48,0
54,2013,8830,GOOD,32,78,98
94,2005,38722,AVERAGE,30,0,86
50,2018,72716,AVERAGE,30,35,0
51,2014,10776,AVERAGE,30,98,0
68,2005,5220,GOOD,34,66,67
50,2005,95768,AVERAGE,33,90,85
67,2015,84914,AVERAGE,30,98,98
50,2019,20411,AVERAGE,32,41,98
67,2020,87533,GOOD,34,69,98
53,2020,95319,AVERAGE,31,61,98
50,2010,29058,AVERAGE,30,63,98
91,2014,26208,AVERAGE,31,0,98
67,2016,5220,GOOD,33,0,98
74,2007,9341,AVERAGE,30,32,73
87,2014,43623,AVERAGE,30,25,98
62,2014,5220,GOOD,31,18,35
98,2005,41651,GOOD,32,49,98
98,2020,14721,GOOD,33,41,98
97,2009,35374,GOOD,32,0,73
82,2018,56735,AVERAGE,30,98,98
96,2020,94333,AVERAGE,31,39,98
82,2005,5220,GOOD,30,21,50
90,2020,36333,GOOD,33,19,98
64,2005,46286,AVERAGE,32,16,82
64,2012,26380,AVERAGE,30,0,97
62,2013,5220,AVERAGE,32,98,41
83,2017,42493,AVERAGE,32,0,38
50,2008,25982,AVERAGE,34,63,33
92,2020,47289,GOOD,30,6,51
58,2020,96747,AVERAGE,33,98,0
50,2005,99783,AVERAGE,34,98,45
50,2012,5220,AVERAGE,34,98,80
64,2005,5220,GOOD,31,16,95
57,2012,16506,AVERAGE,30,4,9
96,2005,27328,GOOD,31,28,64
80,2020,8932,GOOD,34,98,10
53,2005,5220,GOOD,32,6,79
58,2020,66085,AVERAGE,31,94,92
80,2020,63763,GOOD,31,67,98
50,2020,78520,AVERAGE,30,80,0
65,2020,29499,AVERAGE,31,39,98
59,2008,5220,AVERAGE,31,0,84
98,2019,32520,AVERAGE,34,81,40
50,2005,5220,GOOD,32,13,0
88,2020,62308,GOOD,30,15,0
50,2005,26040,GOOD,30,98,0
94,2016,12587,AVERAGE,31,0,84
70,2005,5220,AVERAGE,33,2,73
55,2009,79771,AVERAGE,30,2,87
78,2012,5220,AVERAGE,32,0,98
71,2005,35772,AVERAGE,34,24,98
98,2005,5220,AVERAGE,30,0,0
54,2012,5220,AVERAGE,31,97,98
69,2009,44399,AVERAGE,33,87,32
63,2020,63125,GOOD,31,53,80
50,2020,99783,AVERAGE,34,44,68
76,2005,82374,AVERAGE,34,61,37
94,2005,55076,AVERAGE,33,0,87
67,2015,30031,AVERAGE,31,48,98
50,2020,46898,AVERAGE,34,0,98
77,2005,5220,GOOD,33,26,98
50,2008,9349,AVERAGE,32,98,1
98,2010,5220,AVERAGE,32,63,98
69,2020,66982,AVERAGE,32,0,55
50,2010,5220,AVERAGE,30,0,98
67,2020,92444,AVERAGE,30,68,0
50,2017,20337,AVERAGE,30,10,67
81,2013,12386,AVERAGE,33,20,83
50,2008,52183,GOOD,31,0,98
98,2012,5220,GOOD,32,0,87
65,2013,39189,AVERAGE,31,98,98
69,2005,71796,AVERAGE,30,0,51
60,2005,39628,AVERAGE,31,0,98
85,2020,15195,GOOD,33,49,98
52,2020,30755,GOOD,30,12,30
52,2020,5220,AVERAGE,33,0,52
87,2010,55679,AVERAGE,30,97,98
50,2005,5220,AVERAGE,30,98,81
76,2011,5220,AVERAGE,33,10,53
62,2020,5220,AVERAGE,31,64,0
54,2010,80435,AVERAGE,32,0,90
50,2005,5220,GOOD,32,40,21
71,2005,12386,GOOD,30,0,81
50,2008,51731,AVERAGE,32,25,98
64,2020,5220,AVERAGE,32,68,98
70,2013,73541,GOOD,32,71,0
98,2005,5220,AVERAGE,32,0,15
78,2005,5220,AVERAGE,34,0,78
87,2005,39897,GOOD,31,0,6
84,2005,11042,AVERAGE,30,0,75
50,2007,5220,GOOD,31,5,35
96,2007,58912,GOOD,30,0,66
