AGE,NUMBER_OF_TRIPS,TOTAL_MILES_DONE,SPEEDING,SEATBELT,SAFETY_SCORE
49,86,188388,0,74,72
54,993,6478,48,74,78
33,13,720481,15,47,60
54,475,801538,45,71,68
18,13,607380,13,21,62
46,310,719533,0,29,45
54,13,6478,0,74,45
18,527,572311,0,74,70
22,291,980402,7,2,45
54,13,999370,0,74,69
50,234,50824,46,31,45
42,46,650484,63,74,45
46,535,677351,42,38,45
54,889,97380,46,67,45
36,993,529122,0,0,65
18,672,999370,10,74,51
31,993,999370,72,0,45
54,216,263240,31,21,73
29,13,422978,37,35,98
21,993,6478,65,52,90
18,354,6478,0,74,45
19,711,999370,68,70,45
54,484,538507,74,30,71
18,993,740090,37,2,45
52,424,999370,74,74,45
54,993,230009,11,51,67
30,130,427677,0,44,45
46,479,606121,15,57,84
30,651,282160,71,74,56
48,556,735694,15,20,64
49,443,704321,53,0,77
18,13,6478,21,54,51
40,118,354177,0,20,45
18,367,642539,55,74,98
31,643,51481,53,46,45
18,547,198913,45,74,64
18,825,9032,40,0,76
30,909,433205,54,74,45
54,377,539212,0,74,45
22,993,932167,38,24,48
18,203,223899,0,70,69
18,98,214187,53,69,59
47,445,392436,55,74,45
46,522,77436,0,74,45
54,324,6478,12,63,87
43,719,201344,59,74,61
18,993,972521,74,16,45
45,993,325533,55,59,69
54,993,6478,42,63,98
46,270,6478,35,41,94
44,676,429191,72,46,60
54,893,115602,53,74,76
31,414,409089,50,74,45
54,336,595955,6,68,45
42,669,842980,66,48,88
54,993,6478,27,74,62
46,306,999370,23,74,45
41,289,132781,26,74,45
18,993,119151,74,23,45
41,993,6478,74,65,45
26,963,6478,6,74,45
47,993,165722,29,0,45
47,134,366075,58,74,88
45,55,523182,49,74,97
44,67,999370,34,74,59
49,29,23848,7,74,98
18,440,6478,27,74,45
20,359,252245,74,62,77
51,471,471264,0,68,45
50,649,627216,16,74,45
31,13,999370,21,74,45
18,500,141711,58,69,54
54,993,946072,74,70,82
54,24,554231,7,36,46
18,342,6478,46,74,92
53,104,305641,12,9,62
43,131,942177,50,3,69
54,298,216145,60,55,76
33,993,265935,74,36,57
33,13,357707,33,37,75
40,13,612189,26,74,61
18,13,518974,43,74,76
54,993,6478,35,74,98
54,993,681502,71,74,74
32,682,6478,61,0,45
44,13,6478,0,30,66
33,993,6478,19,74,45
46,333,999370,32,8,45
33,13,972624,23,4,57
38,792,6478,74,74,98
54,665,229164,74,74,70
46,261,318095,0,74,71
36,541,511488,14,74,45
18,810,665241,64,74,79
30,993,405108,52,74,62
43,198,127381,74,37,64
30,271,999370,0,66,45
18,408,440794,3,74,98
54,993,667625,74,0,45
34,883,500596,39,38,45
47,13,541499,0,52,79
18,700,734622,0,22,45
21,461,999370,0,74,45
32,61,82668,23,74,98
18,13,726342,72,48,98
37,290,95862,0,74,98
54,164,195190,1,74,67
18,993,241838,19,32,61
47,993,177184,74,74,63
18,993,853509,64,74,45
54,416,6478,71,0,46
47,993,827531,50,74,63
49,993,759829,74,56,60
54,443,6478,66,74,98
31,172,41470,24,74,81
18,219,320284,65,61,53
18,13,950615,24,72,77
45,283,329933,0,74,51
54,463,568851,38,14,45
41,676,108546,44,74,78
54,993,6478,12,61,45
18,475,566630,14,0,68
43,643,6478,51,74,55
44,316,6478,8,35,46
54,712,6478,0,56,68
31,539,418461,47,0,76
18,344,430479,36,60,45
19,150,201837,38,0,45
54,403,707184,44,74,45
54,13,701467,36,74,45
18,993,395092,74,71,61
35,13,389706,39,0,45
18,169,341155,0,60,54
36,876,708879,7,2,50
54,267,265097,35,0,98
32,585,708224,0,0,45
36,993,426850,0,0,53
48,587,748501,31,74,45
54,993,439411,74,74,45
42,828,185097,70,59,45
54,399,8946,64,70,98
54,577,117560,35,39,98
18,301,999370,12,61,98
25,993,999370,66,36,51
54,661,247739,39,0,58
43,993,614223,74,0,98
50,728,522659,42,64,62
24,734,999370,51,37,45
39,60,283280,0,74,55
40,755,832930,7,44,70
42,13,92617,0,71,58
24,440,429839,13,64,62
39,642,569406,0,69,45
18,63,361461,38,69,90
48,556,175679,49,74,68
18,13,999370,47,31,67
54,164,6478,29,74,45
18,131,594106,63,0,45
48,993,999370,71,0,46
48,993,6478,39,18,47
53,993,219677,53,25,74
18,43,692981,6,0,45
54,375,6478,22,74,60
32,386,86588,37,0,81
26,45,65438,43,74,45
45,993,6478,47,42,45
44,13,6478,32,37,53
54,993,367717,29,0,79
28,993,515284,0,74,46
40,13,291404,49,74,60
43,13,999370,22,73,45
36,894,403596,34,74,45
46,13,272700,49,74,98
54,31,833534,34,0,98
19,57,71258,15,74,45
18,45,700152,52,10,45
54,619,6478,74,74,55
54,832,709255,41,74,62
54,149,6478,29,58,54
40,928,6478,0,74,45
41,839,389164,61,4,74
47,993,6478,68,61,76
54,98,670270,36,74,45
24,993,6478,0,74,98
36,462,654585,34,74,72
18,65,999370,10,29,61
21,201,502853,0,74,45
18,91,63145,47,30,45
47,993,6478,54,60,52
18,77,211376,0,74,98
19,13,726859,22,73,45
54,553,999370,42,60,98
53,13,335778,20,63,61
54,993,6478,50,25,45
52,191,348548,23,74,45
54,13,323006,51,74,53
25,512,717648,49,53,66
29,13,564158,0,28,45
44,993,913999,45,24,45
36,993,301132,26,42,98
18,625,36232,54,24,95
35,188,386902,12,63,45
52,234,6478,67,74,98
32,152,999370,0,74,65
28,725,734018,74,30,60
23,13,367144,51,39,45
41,581,6478,46,72,54
39,632,412287,7,20,45
27,215,128478,7,74,45
47,13,344311,48,0,45
46,604,17376,0,74,45
39,205,628468,33,49,51
18,122,999370,27,74,49
49,735,223819,71,51,57
19,327,96210,24,17,63
37,199,520177,12,7,45
40,848,203420,27,56,65
54,13,303590,59,74,89
31,276,637900,40,74,45
34,218,669705,33,42,45
37,336,306225,37,74,58
45,13,490390,0,70,49
54,501,248249,14,74,95
29,703,759743,0,74,45
21,993,732241,72,70,69
45,13,6478,61,73,98
40,424,549393,0,74,61
45,700,171715,25,74,76
36,668,315282,49,24,65
47,172,404474,66,33,52
47,993,559098,26,74,76
54,734,452906,73,0,98
54,13,261728,0,43,66
31,13,538783,74,55,77
50,107,520727,20,53,45
18,229,974007,16,0,45
44,993,999370,74,74,66
48,29,999370,74,63,72
54,579,422936,0,31,45
30,483,49499,17,64,61
20,13,671908,74,52,45
47,13,268046,30,42,77
37,222,6478,0,61,80
33,309,525601,0,0,48
33,410,292798,65,74,45
54,630,6478,41,41,51
23,516,572591,10,74,57
54,993,145647,0,74,74
48,597,167462,0,51,79
40,414,48238,32,74,45
54,993,124282,47,74,69
36,498,618541,74,68,57
47,936,155465,30,60,45
18,249,788156,21,52,45
48,13,680386,30,66,73
54,993,6478,34,74,97
54,13,6478,14,74,69
18,619,650992,50,74,62
35,366,120301,40,9,61
18,993,765875,55,67,45
43,13,459228,27,0,45
54,993,23310,16,74,45
38,13,612801,0,37,45
54,554,297458,33,18,45
48,13,705897,25,74,45
52,667,775479,42,11,66
29,993,716930,74,50,45
54,13,644312,7,62,45
47,993,999370,43,48,51
54,810,344167,33,74,45
37,128,78431,39,74,78
54,787,423333,0,36,45
18,993,6478,73,74,78
18,657,603536,57,67,45
43,159,318937,14,74,98
18,118,324055,56,69,98
54,993,622896,35,17,46
36,831,151619,0,36,45
54,993,531402,49,49,60
36,993,6478,26,74,45
54,60,495698,1,74,45
45,693,999370,34,17,46
41,398,353013,45,20,64
18,88,6478,46,74,64
54,318,679255,22,60,74
32,299,879624,72,26,45
54,115,6478,43,74,45
41,208,999370,0,74,45
34,932,999370,46,31,55
36,59,6478,74,74,45
18,239,644921,74,70,50
37,993,659422,33,74,83
41,373,506028,32,49,45
32,13,676967,6,74,45
18,527,505106,0,74,72
18,13,429955,12,27,46
47,167,470075,23,74,53
27,514,6478,64,74,68
23,48,254847,43,74,72
35,993,253553,74,55,62
36,36,711550,9,33,45
40,986,6478,0,74,73
18,13,726191,0,69,45
54,680,999370,60,44,45
41,721,6478,69,74,98
46,383,6478,0,53,45
18,993,999370,54,74,98
38,695,6478,48,74,98
54,916,317283,0,71,45
37,710,698098,74,74,45
41,718,151133,0,74,49
48,261,424346,53,0,82
38,182,6478,41,74,71
54,353,6478,33,70,67
54,13,712306,5,12,68
54,599,999370,4,22,67
36,685,513273,73,0,45
44,993,297885,33,23,63
32,457,6478,26,74,96
25,677,999370,0,74,45
26,837,214801,74,74,61
18,365,118154,74,60,61
44,624,250118,41,31,55
21,993,999370,50,39,45
45,376,999370,45,16,60
49,13,173049,51,74,45
21,993,140458,30,0,45
41,13,647542,33,0,75
52,194,97858,26,74,52
52,238,578199,6,63,48
54,738,941954,21,54,46
54,29,815894,74,63,72
30,956,533233,17,62,45
48,704,243988,64,0,59
20,993,999370,61,57,45
34,497,6478,37,74,48
44,13,594303,0,74,45
18,358,6478,0,74,45
18,165,999370,24,20,98
25,13,997608,25,34,62
54,548,220280,52,44,61
35,57,6478,0,29,45
18,993,6478,74,68,45
40,993,196040,0,74,92
39,13,999370,0,41,47
54,13,307868,43,51,86
20,280,699704,22,39,56
34,347,368168,27,74,45
18,52,399871,16,29,72
40,13,405519,9,38,62
48,670,740161,53,42,45
18,607,999370,0,74,45
50,130,350190,10,56,45
54,840,202868,22,44,64
47,174,6478,44,57,62
28,976,999370,60,74,66
38,428,353665,16,74,89
28,993,928950,40,74,45
54,403,160509,39,74,98
18,471,98402,52,56,71
20,158,719362,0,66,45
28,627,492427,48,74,45
18,13,6478,28,49,45
38,152,6478,0,74,71
31,933,573420,0,74,60
30,653,999370,0,31,45
47,73,129515,21,69,66
40,776,120926,52,74,72
44,993,729890,74,26,73
48,317,34043,26,68,54
45,604,169130,68,54,45
18,143,999370,13,4,45
32,13,704557,65,0,66
48,785,450162,74,36,45
54,288,704908,61,28,98
45,993,325389,74,74,94
44,691,999370,37,74,54
18,13,999370,0,46,86
36,739,999370,30,50,62
26,13,999370,0,44,45
18,19,999370,56,3,45
31,993,429859,0,7,67
18,802,710126,16,59,45
29,319,6478,10,0,45
43,842,708557,32,27,61
36,188,676996,11,42,77
31,63,539647,51,48,98
51,77,620820,34,59,73
25,13,557065,33,74,93
54,13,72306,43,72,98
41,42,74584,0,43,63
21,253,104007,0,41,64
48,124,6478,29,74,70
45,548,639001,50,26,94
54,61,508432,21,74,98
44,307,698215,74,0,45
41,13,6478,0,74,62
47,98,664626,8,74,61
54,34,285531,6,57,77
53,248,103379,0,67,65
28,13,172099,8,70,45
24,993,230749,10,59,53
24,993,943551,74,0,55
41,82,954806,9,74,45
54,198,757291,39,74,57
42,970,590108,51,33,45
53,557,941197,54,70,70
35,993,427456,72,57,45
54,993,999370,8,50,85
18,13,567335,69,58,45
54,13,437384,0,74,52
18,461,230536,21,44,86
54,194,266947,34,59,51
38,380,730861,0,61,45
44,538,999370,37,42,63
34,993,593141,74,73,76
47,13,577659,0,74,49
52,74,235323,0,74,66
40,719,348643,41,74,63
54,232,76290,9,74,74
39,13,192987,74,74,53
53,13,174846,0,74,51
36,993,999370,73,13,45
41,993,313238,36,74,60
37,13,71954,0,73,84
54,187,186840,38,15,57
38,788,423131,32,31,45
43,197,546452,10,0,45
54,993,925588,26,0,62
54,863,712117,70,65,51
54,453,553728,10,6,47
54,993,6478,13,74,66
34,13,575369,10,62,45
18,742,77676,13,37,46
54,575,160415,74,0,45
36,330,999370,29,57,76
52,613,433904,70,35,45
54,13,6478,0,58,45
33,889,239815,16,74,56
54,529,892498,30,66,77
46,857,145752,32,0,73
43,337,6478,42,62,59
19,563,999370,25,29,98
54,376,267410,30,74,78
42,13,908784,23,0,78
54,571,180508,55,0,70
54,13,175795,6,74,45
48,993,195405,0,31,45
23,13,477044,0,47,45
41,13,999370,17,52,45
37,993,999370,74,4,45
37,304,895358,27,74,65
31,418,866283,0,42,61
18,235,646628,21,74,68
42,13,6478,0,45,80
32,223,93580,8,1,45
18,459,362315,39,64,78
46,183,685154,20,59,45
47,811,6478,74,68,98
33,13,242129,13,4,86
37,853,6478,74,69,92
51,282,555163,72,74,98
21,477,6478,14,74,46
41,681,344371,21,74,45
53,562,598570,25,0,45
42,242,136593,16,42,45
31,171,821146,52,74,67
18,69,118305,34,4,48
54,205,6478,59,74,55
46,116,319274,0,12,84
54,64,236877,29,74,77
18,13,999370,51,48,66
48,341,999370,49,74,57
39,486,6478,0,74,46
53,880,68711,50,31,45
29,233,230035,8,74,70
31,607,608183,6,74,47
27,13,999370,35,74,57
42,993,6478,67,74,54
54,361,617863,36,0,45
32,395,638733,49,68,69
32,694,512919,55,71,45
54,378,175544,0,74,98
25,993,185635,0,74,76
47,37,999370,0,67,68
54,993,6478,7,74,74
50,993,649683,72,39,45
18,13,911671,0,74,50
38,445,202478,63,71,72
53,13,999370,50,40,45
32,312,538544,66,74,79
34,440,499383,0,59,45
54,13,6478,7,73,45
31,599,999370,26,29,56
44,993,999370,38,0,45
43,13,94351,26,52,45
48,993,501216,56,46,45
31,993,383896,71,36,68
34,347,269012,16,74,98
18,177,176432,19,74,72
24,548,166180,45,35,45
18,585,6478,0,74,98
54,905,999370,0,74,45
26,611,440102,10,74,45
42,397,6478,20,74,45
44,767,987536,1,74,68
54,722,290362,30,72,67
18,564,999370,39,0,45
54,388,345429,0,42,56
48,993,509609,9,70,50
54,968,72463,18,74,45
18,993,999370,46,48,72
18,142,686043,24,21,64
54,209,6478,22,74,54
35,193,608544,53,0,45
18,641,195084,63,74,72
27,267,576458,30,0,45
30,803,588185,11,53,46
43,957,75988,74,73,98
32,651,588102,10,38,45
54,175,207657,0,74,45
39,334,999370,24,68,51
42,993,599449,18,26,82
43,695,6478,46,72,45
31,44,999370,0,74,98
26,993,6478,55,70,69
54,13,6478,27,74,76
27,558,999370,0,74,45
54,672,6478,35,74,58
18,13,850782,1,0,71
18,993,999370,50,56,45
51,434,96066,13,43,84
38,13,999370,44,0,74
37,993,732402,25,24,45
29,441,999370,0,74,57
45,290,6478,36,4,62
36,170,6478,13,72,56
20,115,325110,10,26,54
34,993,999370,74,26,48
42,464,6478,33,6,76
35,966,710705,60,37,63
48,105,477609,0,74,68
45,949,457660,35,27,45
54,13,533867,72,0,98
42,13,719349,24,44,48
45,993,481795,61,74,45
35,993,70897,74,74,68
46,288,736046,62,0,71
31,582,345902,56,0,71
51,321,529510,45,29,45
18,239,6478,38,74,64
22,802,999370,13,0,45
54,13,6478,26,54,57
32,149,6478,0,74,45
54,692,98334,6,69,51
54,271,642215,20,48,55
39,208,688674,41,68,45
54,13,999370,74,68,69
44,993,778629,0,0,49
53,489,423209,29,22,73
25,993,6478,49,13,45
18,993,224870,24,59,96
44,13,391785,74,51,49
22,124,710930,17,71,45
51,13,115365,34,62,98
49,342,728669,25,74,68
47,86,6478,47,74,45
42,521,677558,0,74,98
41,655,730410,43,0,58
18,650,999370,56,39,78
39,570,670369,0,74,45
54,209,693080,36,40,69
43,179,225458,22,58,45
54,620,270545,40,74,45
54,414,608258,65,0,72
29,23,6478,32,67,45
53,329,263889,52,62,45
23,993,6478,68,8,64
35,613,368201,26,26,46
43,914,184859,16,74,51
41,993,578311,33,16,89
18,234,921076,8,68,45
54,993,6478,53,73,53
43,474,109801,33,74,70
43,781,6478,0,73,45
43,100,6478,24,72,45
18,945,467181,32,57,45
54,622,112107,40,52,59
54,760,771135,49,17,98
33,492,444184,74,74,50
54,141,74670,14,48,45
42,404,724202,66,74,84
48,287,6478,50,74,45
54,993,416242,56,45,50
43,800,999370,58,48,60
47,993,861250,53,0,45
54,993,6478,48,18,45
22,13,6478,0,74,45
29,13,347141,11,49,68
29,993,447377,44,74,66
41,13,999370,34,69,69
47,993,6478,54,36,45
18,221,312905,30,41,54
49,13,574089,57,22,45
18,993,123009,50,74,45
46,354,627972,0,74,45
54,769,999370,32,74,63
51,768,321997,10,33,45
48,13,999370,8,0,77
47,801,6478,19,68,45
54,108,565316,0,70,45
41,775,999370,27,50,54
18,33,811919,4,66,54
24,993,353275,25,74,64
41,260,106406,37,74,62
29,307,340718,63,74,98
46,648,734842,74,0,45
44,993,699094,49,0,62
30,13,477516,15,74,45
27,382,999370,11,74,45
18,687,342079,33,74,45
31,13,6478,0,74,79
54,47,217004,61,9,60
37,13,999370,0,74,45
39,717,999370,62,13,45
18,241,366109,0,74,45
18,554,999370,47,74,89
18,117,6478,0,53,60
43,507,167784,12,74,58
